SDSS_NAME,RA,DEC,CLASS,SUBCLASS,logR1,logR_ratio,BAL_PROB
141734.28+005730.0,214.3927978,0.958458355,core,u,2.227407375172377,,0.9
122743.48+364255.7,186.9312573,36.71550771,core,u,3.075015534673505,,0.0
103303.70+411606.2,158.26555080000003,41.26842302,core,u,3.3638209526406078,,-1.0
132126.93+403523.3,200.3621686,40.58983348,core,u,1.9201869509329428,,-1.0
135851.02-010913.7,209.7127386,-1.153811157,core,u,2.165012326704322,,0.9
160048.75+165724.4,240.20318109999997,16.956800100000002,core,u,1.900467779003833,,-1.0
080417.95+234509.2,121.07480190000001,23.75241656,double,c,2.302500478102558,-0.5899905193616558,-1.0
122046.68+064245.2,185.1945178,6.712639052999999,core,u,1.3753643295814826,,0.0
131040.56-033411.9,197.6690523,-3.569919392,triple,l,1.3886268622325546,-0.4921253971124461,-1.0
101443.68+261346.6,153.682084,26.22957249,jet,,1.9570997967036703,,0.0
225251.12+000501.2,343.21299500000003,0.083774998,core,u,1.620481517086742,,0.9
105850.68+331433.4,164.711173,33.24261948,core,u,2.4295527217695594,,-1.0
101602.18+445555.6,154.0091545,44.93207502,core,u,2.382229722551456,,-1.0
003506.66-002525.1,8.777829565,-0.423755555,core,u,1.2908912303202116,,-1.0
015046.75+113206.6,27.69480004,11.53520852,core,u,1.8768692744399629,,-1.0
103624.77+252423.8,159.10313689999998,25.40665764,core,u,2.1896521098493342,,0.0
085734.61+073902.6,134.3942582,7.65072797,core,u,1.8581049997679304,,-1.0
082901.26+371806.0,127.2553308,37.30168479,core,u,2.273511639905664,,-1.0
141444.76+150917.2,213.6865153,15.1547725,core,u,1.6741663163088618,,-1.0
215942.34+062835.4,329.9264756,6.476508314,core,u,2.6209885271720905,,0.0
134326.28+394411.7,205.8596103,39.73663699,core,u,2.0186961319711227,,0.0
135912.54+472708.7,209.80239159999996,47.45255143,core,r,2.305338307516992,,0.0
100124.28+493005.2,150.3511647,49.50137254,core,u,1.8621066571697285,,-1.0
115232.21+422759.8,178.1342705,42.466619200000004,triple,l,0.6613045973222753,-0.3167507951923903,-1.0
012652.56+030853.1,21.71897874,3.148000038,core,u,1.0214802432579462,,1.0
112345.07+250218.3,170.9378056,25.03839433,core,r,1.4141867790008291,,-1.0
144047.19+171220.6,220.1967374,17.20572463,core,u,2.43915259907491,,0.0
130808.39+413011.8,197.03486930000003,41.50330981,core,u,1.9023165496247416,,-1.0
104423.42+114458.3,161.0976204,11.74949461,core,u,2.5987567782371643,,0.0
135323.67+342410.2,208.34864050000002,34.40290811,jet,,2.7103037747269028,,-1.0
015106.69-093200.4,27.777890999999997,-9.533433756,core,u,2.024886889321934,,0.9
141159.73+423950.3,212.99889280000002,42.66400825,double,c,1.74342697191924,0.6046520531060637,-1.0
084859.60-002355.4,132.24839029999998,-0.398708344,core,u,1.7133243005111438,,-1.0
083131.20+521650.2,127.8801155,52.28065164,core,u,2.206789570105244,,-1.0
120014.38+592744.4,180.06005969999998,59.46234967,core,r,2.0606116748238064,,0.0
204215.09-061213.8,310.5632615,-6.2035611489999996,core,r,1.9229361004752616,,-1.0
161153.24+112958.6,242.97183930000003,11.499683000000001,core,u,2.959677031733584,,0.0
101115.73+552758.7,152.8154833,55.46619382,core,r,1.6025461053937335,,1.0
141445.71+544425.5,213.69050409999997,54.74044865,core,u,1.4764979738490922,,-1.0
114229.33+455728.9,175.62230449999998,45.95803091,core,u,1.7181898208314383,,-1.0
145627.56+435500.0,224.11490279999998,43.91671276,core,u,3.132843290097472,,0.0
125531.68+495307.9,193.882054,49.88553311,core,u,1.7532745003368375,,0.0
121522.77+414620.9,183.84489969999998,41.7726071,core,u,1.4223196260091484,,-1.0
034000.95-001658.3,55.00397442,-0.282869456,core,u,3.463691405032628,,0.0
112347.52+204336.2,170.94795530000002,20.72675887,core,u,1.8675240217398497,,0.0
105904.06+160045.7,164.7669073,16.01274501,core,u,2.674462927436757,,-1.0
161220.61+340156.7,243.08591710000002,34.03250012,core,u,1.1298385626230512,,0.9
094822.96+005554.4,147.0957189,0.931749967,core,u,1.2467364271706811,,0.0
143244.43-005915.1,218.18527400000002,-0.987494449,triple,l,1.178743129260178,-0.788235508972826,-1.0
110156.43+220011.8,165.4851017,22.00333318,core,u,1.3943656484665694,,0.9
102412.16+210123.5,156.050698,21.02324713,double,c,1.7747476175995829,0.7388273175147939,-1.0
085655.75+115801.9,134.2322461,11.96726665,core,u,1.507896023662596,,0.0
003419.85+054245.6,8.582687645,5.71262508,core,u,1.273329218083917,,0.0
073826.45+371217.0,114.610424,37.20488394,core,r,2.0834091077685217,,-1.0
102849.66+582827.4,157.2068851,58.47421937,core,u,2.5512743876450488,,-1.0
113510.39+044623.3,173.7932482,4.773174822,core,u,1.7959170902953048,,0.0
233017.20+091354.0,352.5715332,9.231447187,core,u,1.2016266576701682,,-1.0
