,RA,DEC,CLASS,SUBCLASS,logR_ratio,logR1,BAL_bool
0,218.17991919999997,23.33606871,core,u,,2.5105632065185803,NO_BAL
1,236.0236108,32.68015682,core,u,,2.3393737213943995,
2,171.42471619999998,0.93802499,core,r,,1.0926197815679004,NO_BAL
3,252.12182709999996,41.06829506,jet,,,2.8685868594362534,
4,28.95196978,-3.747472081,core,r,,2.6002095257512043,
5,182.37638169999997,58.13301044,core,u,,1.6408387064453875,
6,335.37086719999996,6.956072118,core,u,,1.0763348817646103,BAL
7,228.3864074,58.42801314,core,u,,1.6001159350735634,BAL
8,160.60916630000003,31.57121072,core,r,,1.8749141161082876,NO_BAL
9,5.097333465,-9.254302707,core,u,,2.3448062207895064,
10,115.35719590000001,27.112569099999998,core,u,,4.112083186160625,
11,167.7040116,4.9353136939999995,core,u,,2.3462269223027006,NO_BAL
12,203.0878376,53.32138123,core,u,,2.845967374534223,NO_BAL
13,137.4276272,47.89381238,core,u,,3.2890470332699064,NO_BAL
14,21.42643832,-2.087475071,core,u,,2.356678090330857,
15,185.47577130000002,30.86293035,core,u,,3.0869399654374154,
16,3.092562594,-3.003972265,core,u,,2.276249571754184,NO_BAL
17,141.42642969999997,40.97733743,core,r,,1.5206496569897978,
18,178.1370026,49.66078574,double,c,-0.23056,1.5510143522308897,
19,198.0571847,43.49951797,core,r,,2.9321171752634947,BAL
20,203.18862380000002,47.37295582,core,u,,2.174492810008556,
21,199.3318072,16.69521751,core,u,,2.648781777919893,
22,236.8840917,10.41414481,core,u,,-0.04835033734665615,
23,167.2333979,7.184138964,core,u,,3.238833727441569,NO_BAL
24,16.00368818,-1.112469409,core,u,,2.4899852162317657,NO_BAL
25,194.031881,10.14830275,triple,l,-0.17620999999999998,2.751122235412221,
26,19.44967571,1.2355972290000001,core,u,,2.793263713021392,NO_BAL
27,130.7874675,52.20285237,core,u,,2.140883249566696,
28,114.7991558,39.25614001,core,u,,1.8269599980377291,NO_BAL
29,197.5493738,19.90809239,core,u,,1.065885425152196,
30,29.94987408,10.89757194,core,u,,2.517955759007502,NO_BAL
31,334.08390760000003,4.325094349,core,u,,2.2720628301105066,NO_BAL
32,126.33108329999999,28.69220402,core,u,,2.71318877620156,NO_BAL
33,354.12819989999997,-10.62475284,core,r,,1.8239235078342773,
34,163.2168095,1.8258916319999998,core,u,,1.5132647516121636,NO_BAL
35,219.388125,42.13459005,jet,,,2.326498746743269,BAL
36,188.4749074,37.057635299999994,core,u,,1.4136451409186903,BAL
37,147.85915649999998,49.53858682,core,u,,2.768147747865112,NO_BAL
38,14.73726182,10.19441934,core,u,,2.5728247479940123,
39,119.25937859999999,30.00093316,jet,,,1.6334457689163897,NO_BAL
40,19.86251625,2.803952737,core,u,,3.4325532433681216,BAL
41,253.2080321,40.38609235,core,u,,1.6377971755135987,
42,243.5232268,26.66035252,core,u,,2.164099921551421,
43,197.9473825,0.437583326,core,u,,2.8800444064410873,NO_BAL
44,188.5574024,47.23416296,core,r,,1.2830010778741952,
45,248.45385159999998,31.56990616,core,r,,0.21563627615428088,
46,130.79488510000002,39.89587602,core,u,,0.5612650706165582,
47,167.4633021,29.75907957,double,c,-0.51054,0.7745635175748248,NO_BAL
48,214.1988205,42.85344014,core,u,,1.582154284625966,
49,323.01079639999995,3.758058447,core,u,,2.279587426716212,BAL
50,217.5383185,-0.88872778,core,u,,0.7426279784764006,
51,212.2897006,36.70224007,core,u,,4.0156774637083865,NO_BAL
52,210.41788730000002,3.652558491,core,u,,1.6737023393409671,NO_BAL
53,120.32387720000001,33.49288103,core,u,,1.5184289949232381,
54,149.38946040000002,38.798192900000004,core,u,,2.568681286504996,NO_BAL
55,203.0969763,53.83848119,core,u,,2.706915371652316,NO_BAL
56,40.82967216,-6.692433219,core,u,,2.585760729630536,BAL
57,18.54484981,5.706877903,core,u,,1.733176557618151,
58,250.3898892,37.62969097,core,r,,3.2138610618202113,
59,1.225491644,-4.646480362,core,r,,1.3507192449756047,NO_BAL
60,177.6909503,20.92792843,core,u,,3.097004711416917,BAL
61,142.90461919999998,34.78672376,core,u,,1.8603662587197531,
62,196.7959629,17.74050795,core,u,,2.7575768818360573,NO_BAL
63,252.2981279,49.41071202,jet,,,2.450419559082539,
64,221.66125290000002,0.014311111000000001,core,u,,2.4758886610946944,
65,204.2262525,35.12511183,core,r,,2.228134249145559,
66,122.43820330000001,45.65501639,core,u,,2.419409149138457,NO_BAL
67,234.0965276,38.76412733,core,u,,2.4578105410787767,
68,337.417004,-8.54846669,core,u,,2.7744353276783156,
69,187.6869904,55.89289281,core,u,,2.6596689886955533,NO_BAL
70,227.8555378,44.33637666,core,r,,1.4647070152166095,NO_BAL
71,212.08064219999997,29.8307146,core,u,,1.5735197613561425,
72,193.3226751,63.07641449,core,u,,2.952313240415557,
73,187.7041342,46.16162177,core,u,,1.9684189012572173,NO_BAL
74,176.25066830000003,43.47934501,core,u,,1.1178087530184455,NO_BAL
75,207.0199911,7.411044679,core,u,,1.7011112961748254,BAL
76,173.0401788,5.297152784,triple,l,-1.03569,1.7125451332214183,NO_BAL
77,238.21738560000003,42.99161145,core,r,,2.4002101013125454,NO_BAL
78,149.06748530000002,62.25212677,jet,,,2.6163399688638207,
79,219.1707611,23.35092438,core,u,,3.436142207999069,
80,249.10213900000002,36.93177199,core,u,,1.5479416113785376,NO_BAL
81,209.0313179,58.21008913,double,c,-0.20456,1.6495113024396315,NO_BAL
82,232.31705840000004,-0.191763884,core,r,,1.49782348535429,
83,142.9055345,29.78232612,core,r,,2.8357140542034336,
84,168.2622976,38.04889041,core,u,,1.5857363443411074,
85,236.4375066,2.021808352,core,r,,2.6145251022370632,
86,175.37547519999998,38.23091837,core,u,,0.4360865946221096,
87,146.45913169999997,55.41664079,core,u,,1.6430773451561778,NO_BAL
88,114.91182659999998,30.99751581,core,u,,1.8316641389810568,BAL
89,156.5950504,59.40682023,core,u,,1.6433416421757356,BAL
90,170.9156895,12.32333893,core,u,,2.5475028790517285,BAL
91,226.7054296,30.70698006,double,l,0.81398,1.4857166753795013,NO_BAL
92,120.82657920000001,54.97584429,core,u,,1.4943843124195055,BAL
93,166.79847880000003,64.12696589,core,r,,2.8786480565742507,NO_BAL
94,163.83729119999998,31.12201309,core,u,,2.263184778068873,NO_BAL
95,226.4401724,51.37777577,core,r,,0.5444175036458262,NO_BAL
96,21.96174586,-0.22956666,core,u,,1.5440854783352989,
97,16.78719625,-2.237105519,core,u,,2.474829884444567,NO_BAL
98,243.504676,48.54204173,core,u,,1.4956391264353186,NO_BAL
99,208.6057835,48.70156422,core,u,,1.387816748519319,BAL
100,241.3049316,30.00382916,core,u,,2.1015051718540247,NO_BAL
101,235.8006324,17.63649954,core,r,,2.86640012131732,
102,151.2271911,31.01527772,core,u,,2.7859898317180125,NO_BAL
103,238.7803161,14.30521138,core,u,,1.0636450287993895,
104,222.68680580000003,54.4185794,core,r,,2.111570733919163,NO_BAL
105,133.51283590000003,31.01332087,core,u,,1.7888754874582902,BAL
106,175.38682690000002,22.36360004,core,u,,1.958887384334008,
107,344.5150425,-1.50678893,double,c,,2.1121679868363983,
108,32.67981531,-0.305083339,core,r,,1.4446922327778682,NO_BAL
109,127.1082222,33.28235069,core,r,,1.894311169943792,NO_BAL
110,150.86204919999997,56.97820304,core,u,,3.1236512428948533,
111,132.8178642,52.13798607,core,u,,1.3668381243023604,
112,163.2262352,60.11619685,core,u,,1.230642040251817,BAL
113,184.5910979,18.87760809,core,u,,2.8806831586794592,NO_BAL
114,169.8978274,34.03938496,core,u,,2.3348776531089954,
115,217.5478398,35.00548448,double,c,-0.062229999999999994,1.5841223033365666,NO_BAL
116,257.3447566,32.22567603,core,u,,2.374841114111277,NO_BAL
117,253.2232429,19.26742236,core,u,,2.5496436213623483,
118,173.9622271,62.041203700000004,core,r,,2.954081998465369,NO_BAL
119,130.163598,52.91796976,core,u,,2.0405693059348367,NO_BAL
120,168.2706168,55.98930776,core,u,,2.2022507410663,
121,248.16456569999997,22.02844095,core,r,,0.6496060326079643,BAL
122,199.35140990000002,24.19846889,core,u,,1.6898400739339152,
123,191.2615836,38.08723168,core,u,,1.4076514857760642,
124,195.3820455,56.11234337,triple,l,-0.98346,1.565521571269764,
125,236.6697057,12.26380017,core,u,,0.4598717121523421,
126,156.1986399,34.30245311,core,u,,1.1730864668535377,
127,136.93191930000003,55.25339927,core,u,,1.5190851027961287,
128,135.0577428,36.35382529,core,u,,1.967406935598932,NO_BAL
129,169.9863603,55.2042424,triple,c,-0.42552,2.6374514423582527,
130,147.2306562,40.66240766,core,u,,3.2997366348624735,
131,164.7094654,25.18039225,core,r,,1.0480874466911474,NO_BAL
132,171.8141053,57.59870523,core,r,,2.1795261328288875,NO_BAL
133,168.79654130000003,40.50654616,core,u,,2.760465580057037,BAL
134,236.51834869999996,44.81958864,core,u,,2.8403038725416705,NO_BAL
135,200.0900948,11.928974900000002,core,u,,1.837690939831242,
136,345.4724421,5.345064,core,u,,2.4914364879704207,NO_BAL
137,134.8894879,-0.150177784,core,u,,2.318501281808736,NO_BAL
138,243.51970240000003,4.35634161,core,u,,2.2924677105614646,BAL
139,21.481907999999997,0.987261156,core,u,,1.905084105744004,
140,149.1292302,40.77452521,jet,,,2.7078780682689527,
141,195.50502980000002,39.25711331,double,c,-0.33809,2.459065665026753,
142,0.247162508,7.149975212,core,u,,1.2063939596186202,BAL
143,163.23176769999998,5.853989079,core,r,,3.2678879580176114,NO_BAL
144,224.31472680000002,31.30649649,core,u,,2.925843602994848,NO_BAL
145,199.35296719999997,40.73715042,core,r,,1.5890152909331108,
146,165.37861909999998,33.94894642,core,u,,2.2614351494763154,NO_BAL
147,228.5104983,28.22629975,core,u,,1.7692882715367688,
148,132.8401579,4.746324921,core,u,,1.4956840195339054,
149,352.13965010000004,-1.9659499969999998,core,u,,2.0584126363423065,NO_BAL
150,5.161320812,12.60453611,core,u,,1.6186816521745329,
151,254.41224219999998,42.17944048,core,u,,2.061503960457401,NO_BAL
152,236.46286030000002,39.61208849,core,u,,1.9378305529887228,NO_BAL
153,225.67978109999999,11.26584208,core,u,,1.3802125247088055,
154,137.4872274,38.14662359,core,u,,1.7246641102524294,
155,157.62698269999999,52.96262213,core,u,,1.933208322784304,
156,184.6074494,15.06010608,core,u,,1.980155229868518,NO_BAL
157,134.9544976,51.06669139,core,u,,1.9412731627321889,
158,129.8039613,33.91704602,double,c,0.0525,2.213019918887781,BAL
159,14.77296322,0.114352775,core,u,,3.480522247756248,
160,255.37456809999998,44.87153222,double,c,0.56534,1.221698274221876,
161,130.1841159,34.18380248,core,u,,1.8550172323198664,NO_BAL
162,236.3930694,20.11125637,double,c,1.14127,2.7530970920728848,NO_BAL
163,233.896485,33.35231232,core,u,,3.143889771737085,NO_BAL
164,165.9355663,2.536038994,core,u,,2.48085130963195,BAL
165,160.3322977,-3.149950057,core,u,,1.9496583661304496,
166,359.4581083,-5.383972172000001,core,r,,2.1035598226082457,NO_BAL
167,136.9386676,53.40597995,core,u,,1.0170260063572545,
168,205.283798,33.01951477,core,u,,,NO_BAL
169,208.07316530000003,4.9372500530000005,core,r,,1.0468952230614477,
170,143.6248627,25.14641035,core,u,,1.913715205035652,BAL
171,197.55241999999998,22.87561151,core,r,,1.7379995519240612,
172,193.3572905,30.60973182,core,u,,3.657483265638137,
173,182.0359378,51.0465594,core,u,,1.804381496910452,NO_BAL
174,194.089719,47.17390703,core,u,,1.8452478268437504,NO_BAL
175,123.16951159999999,32.13569854,double,c,-0.45406,1.1264662319870695,NO_BAL
176,137.5458987,46.60496252,core,u,,2.0601850109502564,
177,210.3055034,38.45798801,core,u,,2.3280582711747826,
178,225.0045895,47.54678755,core,u,,2.423967518372604,NO_BAL
179,175.5638245,35.98707828,core,u,,2.615644051103426,
180,207.492367,28.29129924,triple,l,-0.62044,1.224520633528185,NO_BAL
181,328.4992973,0.736922236,core,u,,1.6589514981672282,
182,186.1341879,43.05477021,core,u,,2.246942106358496,NO_BAL
183,233.17786710000001,9.95509463,core,r,,2.224856917335539,NO_BAL
184,32.59555468,2.050949994,double,c,0.0009571461743992613,2.3432701674731238,NO_BAL
185,153.878329,25.43197715,double,c,-0.1544,,
186,28.95325385,8.068452948,core,u,,2.1045166450705395,
187,158.8784919,16.45490243,core,r,,0.675505391796537,
188,344.5509659,-8.613819647,core,u,,2.2204500331240467,
189,214.4001881,37.47390118,core,u,,2.29537006654341,BAL
190,252.5533106,22.6457415,jet,,,1.8780695445396816,
191,168.9893849,24.49631466,double,c,0.74876,1.7823015564279003,
192,201.6341821,51.90426382,core,r,,2.9957574705333103,
193,166.51520349999998,33.36962344,core,u,,1.0782363479551678,
194,115.3973574,38.63865676,core,u,,3.191969424975377,
195,171.9346854,7.426408335,core,u,,1.2551829860700223,NO_BAL
196,246.116513,57.12935171,core,u,,1.4239207356988728,
197,154.4206051,20.191173000000003,core,r,,2.050828489126373,NO_BAL
198,115.44224540000002,48.22158292,core,r,,2.115328717355085,
199,191.7686841,52.09400306,core,r,,1.5630323233311614,BAL
200,217.937707,6.635791741,triple,c,-0.65825,2.3518759029702987,
201,184.6166428,6.282922397,core,u,,2.5759803387859805,NO_BAL
202,225.70398730000002,23.6886243,core,u,,1.704215895141009,
203,157.6650679,58.10316251,core,u,,2.466079341922688,
204,207.046943,19.58989437,core,u,,2.5854270011449256,NO_BAL
205,187.083311,47.67514046,core,u,,1.2216909981572657,
206,14.82282019,-9.331628132999999,core,u,,2.1990883789793267,
207,244.9977963,55.24821516,core,u,,2.1085476441005357,NO_BAL
208,230.3691704,56.93482792,core,r,,2.1975123576806554,
209,176.3379308,57.18174267,core,u,,1.9507047903960328,
210,212.77144750000002,17.33980637,core,u,,2.178724790939165,BAL
211,230.3819975,50.52127346,core,r,,1.9045171543393509,
212,221.6760335,45.77534725,core,u,,0.8889071455840494,
213,184.8760124,52.03059842,jet,,,2.301737325766362,
214,151.9851372,15.83879375,triple,l,-0.56106,1.7883843885029536,
215,123.9929729,10.12489996,core,u,,1.9062605757719682,NO_BAL
216,238.9584748,58.98003586,core,u,,1.6364186633285556,NO_BAL
217,178.1732846,48.75611352,core,u,,2.1569714780668017,
218,183.7201941,22.92837814,core,u,,1.568627878364269,NO_BAL
219,348.0225205,1.7084583759999998,core,u,,2.460489141598747,NO_BAL
220,249.7069727,20.70650906,core,u,,1.370339640177687,NO_BAL
221,147.2335658,28.59657796,core,u,,2.95894948194304,
222,150.6441525,28.85500841,core,u,,2.455423548398001,NO_BAL
223,211.8778949,4.826252649,core,r,,3.2327392047915997,NO_BAL
224,18.55596595,-0.977694409,core,u,,2.2011592655502406,
225,177.76254430000003,59.393057400000004,core,u,,2.6995486470585752,NO_BAL
226,256.7594367,37.55029002,core,u,,1.6287690197393316,NO_BAL
227,240.76505980000002,38.86249572,triple,c,-0.85345,2.1254656134194656,
228,176.34607240000003,51.79787338,core,r,,2.4116839680759297,
229,254.75759019999998,21.40013356,core,u,,2.2737530682601355,NO_BAL
230,172.7633103,21.99049242,double,c,-0.31656999999999996,2.131187606692771,
231,330.3198125,12.94341424,core,u,,1.5222239042051355,BAL
232,182.4826595,52.40657984,core,r,,2.270461379184013,NO_BAL
233,147.3899498,21.08854374,core,u,,2.3211671054961074,NO_BAL
234,200.051477,58.911877399999995,core,r,,2.4508375567871794,NO_BAL
235,132.8705932,60.05567454,core,u,,2.7508242297691203,
236,154.5313771,41.84625703,core,u,,2.8451327264688837,NO_BAL
237,337.59301630000004,3.072969342,core,u,,2.3463658354353227,
238,152.0545729,53.78120664,core,r,,2.398192197924658,NO_BAL
239,162.4856924,35.27862033,core,u,,1.4142298822295232,
240,242.94427259999998,10.993128,double,l,-0.71081,2.1968587843407805,
241,146.1013937,38.57204875,double,c,-0.12150999999999999,2.212334742364928,NO_BAL
242,137.4742637,47.82858749,core,u,,3.4081917651554505,NO_BAL
243,243.5550145,26.07113088,core,u,,0.7130883648981708,
244,212.46056459999997,35.0737488,triple,c,-0.32881,2.0101884720478767,
245,196.57342169999998,21.38039431,core,r,,1.4555689479978369,NO_BAL
246,16.83260335,1.5670139090000001,core,u,,3.13822369429806,NO_BAL
247,243.5593858,55.65325562,core,u,,2.035786203282897,
248,141.44351880000002,19.59097012,core,u,,2.795945764292389,
249,124.63979180000001,33.37148466,core,u,,1.3038120622971276,
250,121.588719,40.0437018,core,r,,2.1505423494838936,NO_BAL
251,140.3986228,40.74034353,core,u,,3.1092374260240034,NO_BAL
252,238.81732209999998,56.64748869,core,u,,1.6759805110327437,
253,138.75888569999998,35.654748600000005,core,u,,2.91904844362015,
254,191.26494399999999,42.47914577,core,r,,0.5828436682351679,
255,126.5061547,8.707069659,core,u,,1.8887171509159413,
256,237.88829339999998,38.73684073,core,u,,1.4385724627575829,NO_BAL
257,253.99756090000002,40.80308223,double,c,-0.23025,1.892839048640387,NO_BAL
258,239.0260117,9.226117078,core,u,,2.1404916088714443,NO_BAL
259,354.3125834,-1.3559249919999998,core,r,,2.5713836599916973,
260,118.21390890000002,16.14752855,core,u,,2.1145001730399087,NO_BAL
261,351.711142,-0.37269722299999997,core,u,,1.6459139386036796,NO_BAL
262,221.3092113,41.68405711,core,u,,3.1669076210373333,BAL
263,215.4910103,49.31628466,core,u,,1.3977822794351495,BAL
264,183.6919854,53.33992519,core,u,,,NO_BAL
265,188.6069076,24.52886734,core,u,,2.9735341813713183,
266,118.034671,50.115509,core,u,,1.7257228535418236,
267,216.80386830000003,56.31892244,core,u,,2.7852771980722166,NO_BAL
268,174.3451275,54.69860691,core,u,,0.7032571359285157,BAL
269,203.2024345,53.52240736,core,u,,2.0329835954077913,
270,122.90531990000001,40.78955163,core,r,,2.9299919129401024,
271,236.87160609999998,9.421616729,core,u,,1.8784964810534104,
272,145.40502859999998,13.50727794,core,u,,1.6763557244932232,
273,339.9129925,-1.821997144,core,u,,2.9038074417828867,NO_BAL
274,22.58563412,-9.793033024,core,r,,0.8895909489514168,
275,238.82086009999998,46.91287086,core,r,,1.9943125533888104,
276,257.2667354,23.82646434,core,u,,1.7950135478962692,BAL
277,182.39707719999998,25.79750838,core,u,,2.0507504776565355,
278,202.96060480000003,0.7552611340000001,core,u,,1.0843206266068621,BAL
279,147.2387294,0.37377778,core,u,,2.4203975626027896,
280,163.3351084,-0.280438896,core,u,,1.6548898350246275,BAL
281,145.1531858,15.36104251,core,u,,1.7193482195983618,NO_BAL
282,215.15862599999997,-1.003758304,core,r,,2.1613555449506783,NO_BAL
283,16.87578722,-0.802136135,core,u,,2.323530969268534,BAL
284,215.8071524,42.01536568,core,r,,3.3984703938604355,
285,173.0475145,36.47692579,core,u,,1.4210462037657208,
286,226.53340440000002,15.73243575,core,r,,0.7949319290310669,NO_BAL
287,241.34875409999998,30.64365396,core,u,,2.3784826741014555,NO_BAL
288,39.4047581,-0.15153056199999998,core,u,,,NO_BAL
289,180.5885524,8.66404459,core,u,,1.2193250909422075,NO_BAL
290,245.4557674,36.52115468,jet,,,2.3393607220784034,NO_BAL
291,214.40462769999996,1.262327815,core,u,,1.5916502372530943,BAL
292,125.5177034,26.94825353,core,u,,2.461307233165735,NO_BAL
293,29.00263271,2.914844487,core,u,,1.5422819310718625,
294,174.50998090000002,25.407011100000002,core,u,,3.1441947023240773,NO_BAL
295,122.9037626,28.75103244,triple,c,-0.51948,1.840480953636367,BAL
296,139.1443815,34.37789596,core,u,,2.589483277345603,BAL
297,191.7835466,44.29652933,core,r,,1.7728824242743186,BAL
298,180.944173,5.917797133,core,u,,2.3987853216258714,BAL
299,180.2718092,14.50065212,core,u,,1.6144137089985122,NO_BAL
300,32.38998306,2.8925806310000004,core,u,,2.4028345148188803,NO_BAL
301,164.3155411,56.42331505,core,u,,1.252101536266045,
302,250.44813019999998,39.58427596,core,u,,2.4323292650128483,
303,256.7081352,24.44081595,core,u,,1.6677096622528793,NO_BAL
